TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages,Length,Century,Decade,Period,contemporary_single_author,Selection
A00400,99837510,1836,STC 10529; ESTC S101702,Free,"Escalante, Bernardino de, 16th cent.; Frampton, John, fl. 1577-1596.",1579,"A discourse of the nauigation which the Portugales doe make to the realmes and prouinces of the east partes of the worlde and of the knowledge that growes by them of the great thinges, which are in the dominions of China. Written by Barnardine of Escalanta, of the realme of Galisia priest. Translated out of Spanish into English, by Iohn Frampton.; Discurso de la navegacion que los portugueses hazen à los reinos y provincias del Oriente. English","Asia -- Description and travel -- Early works to 1800.; Portugal -- History -- Period of discoveries, 1385-1580 -- Early works to 1800.",94,32195,16,1570,1550-1600,n,
A00611,99847698,12754,STC 10746; ESTC S112444,Free,"Federici, Cesare.; Hickock, Thomas.",1588,"The voyage and trauaile of M. Cæsar Frederick, merchant of Venice, into the East India, the Indies, and beyond the Indies. Wherein are contained very pleasant and rare matters, with the customes and rites of those countries. Also, heerein are discovered the merchandises and commodities of those countreyes, aswell the aboundaunce of goulde and siluer, as spices, drugges, pearles, and other jewelles. Written at sea in the Hercules of London: comming from Turkie, the 25. of March. 1588. For the profitabvle instruction of merchants and all other trauellers for their better direction and knowledge of those countreyes. Out of Italian, by T H.; Viagge de M. Cesare de i Federici, nell' India Orientale, et oltra l'India. English",East Asia -- Description and travel -- Early works to 1800.,88,34479,16,1580,1550-1600,n,
A01864,99838987,3380,STC 12003; ESTC S103230,Free,"González de Mendoza, Juan, 1545-1618.; Parke, Robert, fl. 1588.; Loyola, Martín Ignacio de, d. 1606.",1588,"The historie of the great and mightie kingdome of China, and the situation thereof togither with the great riches, huge citties, politike gouernement, and rare inuentions in the same. Translated out of Spanish by R. Parke.; Historia de las cosas mas notables de la China. English",Philippines -- Description and travel -- Early works to 1800.; Latin America -- Description and travel -- Early works to 1800.; China -- Description and travel -- To 1900.,419,172121,16,1580,1550-1600,n,
A02495,99842463,7116,STC 12626A; ESTC S106753,Free,NA,1599,"The principal nauigations, voyages, traffiques and discoueries of the English nation. [vols. 1-3] made by sea or ouer-land, to the remote and farthest distant quarters of the earth, at any time within the compasse of these 1600. yeres: deuided into three seuerall volumes, according to the positions of the regions, whereunto they were directed. The first volume containeth the worthy discoueries, &c. of the English ... The second volume comprehendeth the principall nauigations ... to the south and south-east parts of the world ... By Richard Hakluyt preacher, and sometime student of Christ-Church in Oxford.; Principall navigations, voiages, and discoveries of the English nation.","Voyages and travels -- Early works to 1800.; Discoveries (in geography), English -- Early works to 1800.",2072,3676362,16,1590,1550-1600,n,
A02794,99841847,6462,STC 12925; ESTC S106122,Free,"Hasleton, Richard.; Barley, William, d. 1614.",1595,"Strange and wonderfull things. Happened to Richard Hasleton, borne at Braintree in Essex, in his ten yeares trauailes in many forraine countries. Penned as he deliuered it from his ovvne mouth",Voyages and travels -- Early works to 1800.,32,10899,16,1590,1550-1600,n,
A03702,99851433,16705,STC 13828; ESTC S116216,Free,"Hortop, Job.",1591,"The trauailes of an English man Containing his sundrie calalmities indured by the space of twentie and odd yeres in his absence from his natiue countrie; wherein is truly decyphered the sundrie shapes of wilde beasts, birds, fishes, foules, rootes, plants, &c. With the description of a man that appeared in the sea: and also of a huge giant brought from China to the King of Spaine. No lesse pleasant than approued. By I.H. Published with authoritie.; Rare travailes of Job Hortop",Voyages and travels -- E.; West Indies -- Description and travel -- E.; Mexico -- Description and travel -- Early works to 1800.,32,8275,16,1590,1550-1600,y,y
A05059,99836282,542,STC 152; ESTC S100442,Free,"Adrichem, Christiaan van, 1533-1585.; Tymme, Thomas, d. 1620.",1595,"A briefe description of Hierusalem and of the suburbs therof, as it florished in the time of Christ Whereto is annexed a short commentarie concerning those places which were made famous by the Passion of Christ, and by the actes of holye men, confirmed by certeine principall histories of antiquity. Verie profitable for Christians to read, for the understanding of the Sacred Scriptures and Iosephus his Historie. Hereunto also is appertaining a liuely and beawtifull mappe of Hierusalem, with arithmeticall directions, correspondent to the numbers of this booke. Translated out of Latin into English by Thomas Tymme minister.; Jerusalem sicut Christi tempore flourit. English",Jerusalem -- Description and travel -- Early works to 1800.,138,33547,16,1590,1550-1600,n,
A05576,99837226,1541,STC 15696; ESTC S101412,Free,"Lipsius, Justus, 1547-1606.; Lipsius, Justus, 1547-1606. Epistola de peregrinatione Italica.; Stradling, John, Sir, 1563-1637.",1592,"A direction for trauailers Taken out of Iustus Lipsius, and enlarged for the behoofe of the right honorable Lord, the yong Earle of Bedford, being now ready to trauell. They that go downe into the sea in shippes, see the great wonders of the Lord.",Travelers -- Early works to 1800.,28,5571,16,1590,1550-1600,n,
A06339,99844475,9291,STC 16805; ESTC S108820,Free,"Lopes, Duarte.; Pigafetta, Filippo, 1533-1604.; Hartwell, Abraham, b. 1553.; Rogers, William, b. ca. 1545, engraver. aut",1597,"A report of the kingdome of Congo, a region of Africa And of the countries that border rounde about the same. 1. Wherein is also shewed, that the two zones torrida & frigida, are not onely habitable, but inhabited, and very temperate, contrary to the opinion of the old philosophers. 2. That the blacke colour which is in the skinnes of the Ethiopians and Negroes &c. proceedeth not from the sunne. 3. And that the Riuer Nilus springeth not out of the mountains of the Moone, as hath been heretofore beleeued: together with the true cause of the rising and increasing thereof. 4. Besides the description of diuers plants, fishes and beastes, that are found in those countries. Drawen out of the writinges and discourses of Odoardo Lopez a Portingall, by Philippo Pigafetta. Translated out of Italian by Abraham Hartwell.; Relatione del reame di Congo. English",Congo (Brazzaville) -- Description and travel -- Early works to 1800.,219,62300,16,1590,1550-1600,n,
A07400,99847750,12810,STC 17784; ESTC S112501,Free,"Meyer, Albrecht, 1528-1603.; Jones, Philip, fl. 1589.; Ortelius, Abraham, 1527-1598.",1589,"Certaine briefe, and speciall instructions for gentlemen, merchants, students, souldiers, marriners, &c. employed in seruices abrode, or anie way occasioned to conuerse in the kingdomes, and gouernementes of forren princes; Methodus describendi regiones, urbes, et arces. English",Travel -- Early works to 1800.,32,6715,16,1580,1550-1600,n,
A07873,99837138,1448,STC 18244; ESTC S101322,Free,"Münster, Sebastian, 1489-1552.; Eden, Richard, 1521?-1576.",1553,"A treatyse of the newe India with other new founde landes and islandes, aswell eastwarde as westwarde, as they are knowen and found in these oure dayes, after the description of Sebastian Munster in his boke of universall cosmographie: wherin the diligent reader may see the good successe and rewarde of noble and honeste enterpryses, by the which not only worldly ryches are obtayned, but also God is glorified, [and] the Christian faythe enlarged. Translated out of Latin into Englishe. By Rycharde Eden.; Cosmographia. English. Abridgments",Voyages and travels -- Early works to 1800.; America -- Discovery and exploration -- Early works to 1800.,212,33160,16,1550,1550-1600,n,
A08239,99848457,13552,STC 18574; ESTC S113220,Free,"Nicolay, Nicolas de, 1517-1583.; Washington, Thomas, fl. 1585.; Stell, John, fl. 1580.",1585,"The nauigations, peregrinations and voyages, made into Turkie by Nicholas Nicholay Daulphinois, Lord of Arfeuile, chamberlaine and geographer ordinarie to the King of Fraunce conteining sundry singularities which the author hath there seene and obserued: deuided into foure bookes, with threescore figures, naturally set forth as well of men as women, according to the diuersitie of nations, their port, intreatie, apparrell, lawes, religion and maner of liuing, aswel in time of warre as peace: with diuers faire and memorable histories, happened in our time. Translated out of the French by T. Washington the younger.; Quatre premiers livres de navigations et peregrinations orientales. English",Costume -- Early works to 1800.; Turkey -- Description and travel -- Early works to 1800.; Middle East -- Description and travel -- Early works to 1800.,302,79140,16,1580,1550-1600,n,
A08307,99848470,13565,STC 18637; ESTC S113233,Free,"Norden, John, 1548-1625?; Kip, William, engraver.",1598,1598 Speculi Britan[n]iæ pars the description of Hartfordshire by Iohn Norden.; Speculum Britanniae. Part 2,Hertfordshire (England) -- Description and travel -- Early works to 1800.,43,11038,16,1590,1550-1600,n,
A09829,99840785,5316,STC 20092; ESTC S105055,Free,"Polo, Marco, 1254-1323?; Frampton, John, fl. 1577-1596.",1579,"The most noble and famous trauels of Marcus Paulus, one of the nobilitie of the state of Venice, into the east partes of the world, as Armenia, Persia, Arabia, Tartary, with many other kingdoms and prouinces. No lesse pleasant, than profitable, as appeareth by the table, or contents of this booke. Most necessary for all sortes of persons, and especially tor trauellers. Translated into English; Travels of Marco Polo. English",Voyages and travels -- Early works to 1800.; Mongols -- History -- Early works to 1800.; Asia -- Description and travels -- Early works to 1800.,196,57285,16,1570,1550-1600,n,
A11090,99851402,16673,STC 21360; ESTC S116185,Free,"Verstegan, Richard, ca. 1550-1640.",1576,"The post of the vvorld VVherein is contayned the antiquities and originall of the most famous cities in Europe. With their trade and traficke. With their wayes and distance of myles, from country to country. With the true and perfect knowledge of their coynes, the places of their mynts: with al their martes and fayres. And the raignes of all the kinges of England. A booke right necessary and profitable, for all sortes of persons, the like before this tyme not imprinted.","Almanacs, English -- Early works to 1800.; Europe -- Description and travel -- Early works to 1800.; Europe -- Distances, etc. -- Early works to 1800.",121,19665,16,1570,1550-1600,y,
A13665,99846770,11759,STC 23950; ESTC S111418,Free,"Thevet, André, 1502-1590.; Hacket, Thomas, fl. 1560-1590.",1568,"The new found vvorlde, or Antarctike wherin is contained wo[n]derful and strange things, as well of humaine creatures, as beastes, fishes, foules, and serpents, trées, plants, mines of golde and siluer: garnished with many learned aucthorities, trauailed and written in the French tong, by that excellent learned man, master Andrevve Theuet. And now newly translated into Englishe, wherein is reformed the errours of the auncient cosmographers.; Singularitez de la France antarctique, autrement nommée Amérique. English",Voyages and travels -- Early works to 1800.; Indians -- Early works to 1800.; America -- Early accounts to 1600.,298,95968,16,1560,1550-1600,n,
A14275,99846823,11815,STC 24590; ESTC S111492,Free,"Vallans, William.",1590,"A tale of tvvo swannes VVherein is comprehended the original and increase of the riuer Lee commonly called Ware-riuer: together, with the antiquitie of sundrie places and townes seated vpon the same. Pleasant to be read, and not altogether vnprofitable to bee vnderstood. By W.V.",Hertfordshire (England) -- Description and travel -- Early works to 1800.,26,7366,16,1590,1550-1600,y,
A14850,99837637,1974,STC 25152; ESTC S101834,Free,"Webbe, Edward, b. 1553 or 4.",1590,"The rare and most vvonderfull things vvhich Edvv. VVebbe an Englishman borne, hath seene and passed in his troublesome trauailes in the cities of Ierusalem, Damasko, Bethlehem and Galely and in the landes of Iewrie, Egypt, Gracia, Russia, and Prester Iohn, vvherein is set forth his extreame slauery sustained many yeeres together in the gallies and warres of the great Turke, against the lands of Persia, Tartaria, Spaine, and Portugale.; Rare and most wonderfull things which Edward Webbe hath seene and passed.",Voyages and travels -- Early works to 1800.; Middle East -- Description and travel -- Early works to 1800.; Soviet Union -- Description and travel -- Early works to 1800.,30,8438,16,1590,1550-1600,y,y
A18616,99852131,17438,STC 5141; ESTC S116916,Free,"Nicholas, Thomas, b. ca. 1532, attributed name.",1577,"The strange and marueilous newes lately come from the great kingdome of Chyna which adioyneth to the East Indya. Translated out of the Castlyn tongue, by T.N.",China -- Description and travel -- Early works to 1800.,14,1665,16,1570,1550-1600,y,
A18769,99840824,5362,STC 5261; ESTC S105094,Free,"Churchyard, Thomas, 1520?-1604.",1587,"The vvorthines of VVales vvherein are more then a thousand seuerall things rehearsed: some set out in prose to the pleasure of the reader, and with such varietie of verse for the beautifying of the book, as no doubt shal delight thousands to vnderstand. Which worke is enterlarded with many wonders and right strange matter to consider of: all the which labour and deuice is drawne forth and set out by Thomas Churchyard, to the glorie of God, and honour of his Prince and countrey.",Wales -- Description and travel -- Poetry.,110,29865,16,1580,1550-1600,y,
A20049,99857222,22913,STC 649; ESTC S122069,Free,"Anghiera, Pietro Martire d', 1457-1526.; Eden, Richard, 1521?-1576.; Willes, Richard, fl. 1558-1573.",1577,"The history of trauayle in the VVest and East Indies, and other countreys lying eyther way, towardes the fruitfull and ryche Moluccaes As Moscouia, Persia, Arabia, Syria, Ægypte, Ethiopia, Guinea, China in Cathayo, and Giapan: vvith a discourse of the Northwest passage. Gathered in parte, and done into Englyshe by Richarde Eden. Newly set in order, augmented, and finished by Richarde VVilles.; De orbe novo. Decade 1-3. English",Voyages and travels -- Early works to 1800.; America -- Discovery and exploration -- Early works to 1800.,966,757505,16,1570,1550-1600,n,
A21219,99857234,22925,STC 7575; ESTC S122082,Free,"Eliot, John.; Plancius, Petrus, d. 1622, cartographer.; Duetecum, Baptista, engraver.",1592,"The suruay or topographical description of France with a new mappe, helping greatly for the surueying of euery particular country, cittye, fortresse, riuer, mountaine, and forrest therein: collected out of sundry approued authors: very amply, truly, and historically digested, for the pleasure of those who desire to be throughly acquainted in the state of the kingdome & dominion of France.",France -- Description and travel -- To 1600 -- Early works to 1800.,112,28429,16,1590,1550-1600,n,
A68148,99841844,6459,STC 12961; ESTC S106119,Free,"Hawkins, John, Sir, 1532-1595.",1569,"A true declaration of the troublesome voyadge of M. Iohn Haukins to the parties of Guynea and the west Indies, in the yeares of our Lord 1567. and 1568",West Indies -- Description and travel -- Early works to 1800.; Mexico -- Description and travel -- Early works to 1800.,36,4236,16,1560,1550-1600,y,y
A68397,99843815,8573,STC 16636; ESTC S108126,Free,"Llwyd, Humphrey, 1527-1568.; Twyne, Thomas, 1543-1613.",1573,"The breuiary of Britayne As this most noble, and renowmed iland, was of auncient time deuided into three kingdomes, England, Scotland and Wales. Contaynyng a learned discourse of the variable state, [and] alteration therof, vnder diuers, as wel natural: as forren princes, [and] conquerours. Together with the geographicall description of the same, such as nether by elder, nor later writers, the like hath been set foorth before. Writen in Latin by Humfrey Lhuyd of Denbigh, a Cambre Britayne, and lately Englished by Thomas Twyne, Gentleman.; Commentarioli Britannicae descriptionis fragmentum. English",Britons -- Early works to 1800.; Great Britain -- Description and travel -- To 1600.,228,36607,16,1570,1550-1600,n,
A68498,99845697,10615,STC 18487; ESTC S110080,Free,"González de Mendoza, Juan, 1545-1618.; Loyola, Marín Ignacio de, d. 1606. aut; Avanzi, Francesco.",1587,"Nevv Mexico. Otherwise, The voiage of Anthony of Espeio who in the yeare 1583. with his company, discouered a lande of 15. prouinces, replenished with townes and villages, with houses of 4. or 5. stories height, it lieth northward, and some suppose that the same way men may by places inhabited go to the lande tearmed Deʻ Labrador. Translated out of the Spanish copie printed first at Madreel, 1586, and afterward at Paris, in the same yeare.; Historia de las cosas mas notables de la China. English. Selections","Espejo, Antonio de.; Indians of North America -- New Mexico -- Early works to 1800.; New Mexico -- Description and travel -- Early works to 1800.",34,6038,16,1580,1550-1600,n,
A00549,99849852,15024,STC 10687; ESTC S114627,Free,"Farewell, Christopher.",1633,"An East-India colation; or a discourse of travels set forth in sundry obseruations, briefe and delightfull; collected by the author in a voyage he made unto the East-Indies, of almost foure yeares continuance. Written by C.F.",India -- Description and travel -- 1498-1761.; Spain -- Description and travel.; Ireland -- Description and travel -- To 1700.,108,16218,17,1630,1600-1650,n,
A00709,99837816,2159,STC 10840; ESTC S102015,Free,"Feynes, Henri de.; Loiseau de Tourval, Jean.",1615,"An exact and curious suruey of all the East Indies, euen to Canton, the chiefe cittie of China all duly performed by land, by Monsieur de Monfart, the like whereof was neuer hetherto, brought to an end. VVherein also are described the huge dominions of the great Mogor, to whom that honorable knight, Sir Thomas Roe, was lately sent ambassador from the King. Newly translated out of the trauailers manuscript.",Voyages and travels -- Early works to 1800.; Asia -- Description and travel -- Early works to 1800.,52,11901,17,1610,1600-1650,n,
A01108,99841371,5949,STC 11221; ESTC S105645,Free,"Foxe, Luke, 1586-1635.",1635,"North-vvest Fox, or, Fox from the North-west passage Beginning vvith King Arthur, Malga, Octhur, the two Zeni's of Iseland, Estotiland, and Dorgia; following with briefe abstracts of the voyages of Cabot, Frobisher, Davis, Waymouth, Knight, Hudson, Button, Gibbons, Bylot, Baffin, Hawkridge ... Mr. Iames Hall's three voyages to Groynland, with a topographicall description of the countries, the salvages lives and treacheries, how our men have beene slayne by them there, with the commodities of all those parts ... demonstrated in a polar card, wherein are all the maines, seas, and ilands, herein mentioned. With the author his owne voyage, being the XVIth. with the opinions and collections of the most famous mathematicians, and cosmographers ... By Captaine Luke Foxe of Kingstone vpon Hull, capt. and pylot for the voyage, in his Majesties Pinnace the Charles. Printed by his Majesties command.",Voyages and travels -- Early works to 1800.; Northwest Passage -- Early works to 1800.,311,112492,17,1630,1600-1650,y,
A01395,99838565,2947,STC 11517; ESTC S102803,Free,"Gainsford, Thomas, d. 1624?",1618,"The glory of England, or A true description of many excellent prerogatiues and remarkeable blessings, whereby she triumpheth ouer all the nations of the world vvith a iustifiable comparison betweene the eminent kingdomes of the earth, and herselfe: plainely manifesting the defects of them all in regard of her sufficiencie and fulnesse of happinesse. By T.G.",National characteristics -- Early works to 1800.; Great Britain -- Description and travel -- 1601-1700.,344,187500,17,1610,1600-1650,y,
A01867,24145872,27249,STC 12007; ESTC S4320,Free,"Goodall, Baptist.",1630,"The tryall of trauell, or, [brace] 1. The wonders in trauell, 2. The worthes of trauell, 3. The way to trauell in three bookes epitemizd / by Baptist Goodall, merchant.",Travel.; Voyages and travels -- Poetry.,82,22624,17,1630,1600-1650,n,
A02325,99854270,19680,STC 12456; ESTC S119063,Free,"Day, J., attributed name.",1632,"A publication of Guiana's plantation Newly undertaken by the Right Honble. the Earle of Barkshire (Knight of the most noble Order of the Garter) and company for that most famous river of the Amazones in America. Wherein is briefly shewed the lawfulnesse of plantations in forraine countries; hope of the natives conversion; nature of the river; qualitie of the land, climate, and people of Guiana; with the provisions for mans sustenance, and commodities therein growing for the trade of merchandise and manner of the adventure. With an answer to some objections touching feare of the enemie.",Guyana -- Description and travel -- Early works to 1800.; Amazon Valley -- Early works to 1800.,28,6362,17,1630,1600-1650,n,
A02578,99854226,19635,STC 12705; ESTC S119019,Free,"Hall, Joseph, 1574-1656.",1617,Quo vadis? A iust censure of travell as it is commonly vndertaken by the gentlemen of our nation. By Ios. Hall D. of Diuinitie.,Travel -- Early works to 1800.,118,15140,17,1610,1600-1650,y,y
A02605,99839518,3946,STC 12735; ESTC S103773,Free,"Hamond, Walter, fl. 1643.",1640,"A paradox Prooving that the inhabitants of the isle called Madagascar, or St. Laurence, (in temporall things) are the happiest people in the world. Whereunto is prefixed, a briefe and true description of that island: the nature of the climate, and condition of the inhabitants, and their speciall affection to the English above other nations. With most probable arguments of a hopefull and fit plantation of a colony there, in respect of the fruitfulnesse of the soyle, the benignity of the ayre, and the relieving of our English ships, both to and from the East-Indies. By Wa: Hamond.",Madagascar -- Description and travel -- Early works to 1800.,38,16423,17,1640,1600-1650,y,y
A02626,99839579,4011,STC 12754; ESTC S103834,Free,"Harcourt, Robert, 1574?-1631.",1613,"A relation of a voyage to Guiana Describing the climat, scituation, fertilitie, prouisions and commodities of that country, containing seuen prouinces, and other signiories within that territory: together, with the manners, customes, behauiors, and dispositions of the people. Performed by Robert Harcourt, of Stanton Harcourt Esquire. The pattent for the plantation of which country, his Maiestie hath granted to the said Robert Harcourt vnder the Great Seale.",Guyana -- Description and travel -- Early works to 1800.,88,25064,17,1610,1600-1650,y,
A02826,99855022,20492,STC 12962; ESTC S119816,Free,"Hawkins, Richard, Sir, 1562?-1622.",1622,"The observations of Sir Richard Havvkins Knight, in his voiage into the South Sea. Anno Domini 1593",America -- Discovery and exploration -- English -- Early works to 1800.; South America -- Description and travel -- Early works to 1800.,182,76859,17,1620,1600-1650,y,
A03065,99854894,20350,STC 13190; ESTC S119687,Free,"Herbert, Thomas, Sir, 1606-1682.; Marshall, William, fl. 1617-1650, engraver.",1634,"A relation of some yeares trauaile begunne anno 1626. Into Afrique and the greater Asia, especially the territories of the Persian monarchie: and some parts of the orientall Indies, and iles adiacent. Of their religion, language, habit, discent, ceremonies, and other matters concerning them. Together with the proceedings and death of the three late ambassadours: Sir D.C. Sir R.S. and the Persian Nogdi-Beg: as also the two great monarchs, the King of Persia, and the Great Mogol. By T.H. Esquier·",Voyages and travels -- Early works to 1800.; Iran -- Description and travel -- Early works to 1800.; India -- Description and travel -- 1498-1761 -- Early works to 1800.; America -- Discovery and exploration -- Pre-Columbian -- Early works to 1800.,237,87893,17,1630,1600-1650,n,
A03330,99841899,6514,STC 13450; ESTC S106176,Free,"Higginson, Francis, 1587-1630.; Graves, Thomas, enginere.",1630,"Nevv-Englands plantation. Or, A short and true description of the commodities and discommodities of that countrey. Written by Mr. Higgeson, a reuerend diuine now there resident. Whereunto is added a letter, sent by Mr. Graues an enginere, out of New-England",New England -- Description and travel -- To 1775.,28,5188,17,1630,1600-1650,n,
A04494,99843468,8205,STC 14623; ESTC S107773,Free,"Jobson, Richard, fl. 1620-1623.",1623,"The golden trade: or, A discouery of the riuer Gambra, and the golden trade of the Aethiopians Also, the commerce with a great blacke merchant, called Buckor Sano, and his report of the houses couered with gold, and other strange obseruations for the good of our owne countrey; set downe as they were collected in trauelling, part of the yeares, 1620. and 1621. By Richard Iobson, Gentleman.","Gambia River -- Description and travel -- Early works to 1800.; Africa, West -- Description and travel -- To 1850.",172,49022,17,1620,1600-1650,y,
A04581,22924007,25918,STC 14699.5; ESTC S889,Free,"Johnson, Robert, fl. 1586-1626.",1609,Nova Britannia offering most excellent fruites by planting in Virginia : exciting all such as be well affected to further the same.,"Virginia -- Description and travel.; Virginia -- History -- Colonial period, ca. 1600-1775.",35,11159,17,1600,1600-1650,y,
A05331,99844139,8928,STC 15481; ESTC S108481,Free,"Leo, Africanus, ca. 1492-ca. 1550.; Pory, John, 1572-1636.",1600,"A geographical historie of Africa, written in Arabicke and Italian by Iohn Leo a More, borne in Granada, and brought vp in Barbarie. Wherein he hath at large described, not onely the qualities, situations, and true distances of the regions, cities, townes, mountaines, riuers, and other places throughout all the north and principall partes of Africa; but also the descents and families of their kings ... gathered partly out of his owne diligent obseruations, and partly out of the ancient records and chronicles of the Arabians and Mores. Before which, out of the best ancient and moderne writers, is prefixed a generall description of Africa, and also a particular treatise of all the maine lands and isles vndescribed by Iohn Leo. ... Translated and collected by Iohn Pory, lately of Goneuill and Caius College in Cambridge; Della descrittione dell'Africa. English",Africa -- Description and travel -- To 1900.,493,240625,17,1600,1600-1650,n,
A05414,99844192,8983,STC 15566; ESTC S108534,Free,"Lewkenor, Samuel.",1600,"A discourse not altogether vnprofitable, nor vnpleasant for such as are desirous to know the situation and customes of forraine cities without trauelling to see them Containing a discourse of all those citties wherein doe flourish at this day priuiledged vniuersities. Written by Samuel Levvkenor Gentleman.",Universities and colleges -- Europe -- Early works to 1800.; Europe -- Description and travel -- Early works to 1800.,168,40381,17,1600,1600-1650,n,
A05594,99844242,9033,STC 15711; ESTC S108584,Free,"Lithgow, William, 1582-1645?",1616,"A most delectable and true discourse, of an admired and painefull peregrination from Scotland, to the most famous kingdomes in Europe, Asia and Affricke With the particular descriptions (more exactly set downe then hath beene heeretofore in English) of Italy Sycilia, Dalmatia, Ilyria, Epire, Peloponnesus, Macedonia, Thessalia, and the whole continent of Greece, Creta, Rhodes, the Iles Cyclades ... and the chiefest countries of Asia Minor. From thence, to Cyprus, Phænicia, Syria ... and the sacred citie Ierusalem, &c.",Voyages and travels -- Early works to 1800.,136,44381,17,1610,1600-1650,y,y
A05597,99844250,9042,STC 15714; ESTC S108592,Free,"Lithgow, William, 1582-1645?",1640,"The totall discourse, of the rare adventures, and painefull peregrinations of long nineteene yeares travailes from Scotland, to the most famous kingdomes in Europe, Asia, and Affrica Perfited by three deare bought voyages, in surveying of forty eight kingdomes ancient and modern; twenty one rei-publicks, ten absolute principalities, with two hundred islands. ... divided into three bookes: being newly corrected, and augmented in many severall places, with the addition of a table thereunto annexed of all the chiefe heads. Wherein is contayed an exact relation of the lawes, religions, policies and governments of all their princes, potentates and people. Together with the grievous tortures he suffered by the Inquisition of Malaga in Spaine ... And of his last and late returne from the Northern Isles, and other places adjacent. By William Lithgow.; Most delectable, and true discourse, of an admired and painefull peregrination from Scotland, to the most famous kingdomes in Europe, Asia and Affricke",Voyages and travels -- Early works to 1800.,530,153764,17,1640,1600-1650,y,
